rodada,atleta_id,apelido,clube_id,clube,posicao_id,posicao,pontuacao,entrou_em_campo,foto,G,A,FD,FF,DE,DS,FS,FC,CA,CV,GS,SG,I,DP,FT,PC,PP,PS,V
1,89275,William,283,CRU,2,Lateral,19.3,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,0,2,0,2,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0
1,95131,Gabriel Taliari,286,JUV,5,Atacante,18.6,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,2,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0
1,82628,Tinga,356,FOR,2,Lateral,14.5,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,99198,Vegetti,267,VAS,5,Atacante,14.4,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,93716,Paulo Henrique,267,VAS,2,Lateral,14.1,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0
1,68920,Dudu,282,CAM,5,Atacante,13.9,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,1,0,0,0,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0
1,101027,Diego,354,CEA,2,Lateral,13.8,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0,1,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
1,122861,Abner,286,JUV,3,Zagueiro,13,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
1,110426,Bernabéi,285,INT,2,Lateral,12.5,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1,82775,Lucas Ramon,2305,MIR,2,Lateral,12.4,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,1,0,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0
