rodada,atleta_id,apelido,clube_id,clube,posicao_id,posicao,pontuacao,entrou_em_campo,foto,G,A,FD,FF,DE,DS,FS,FC,CA,CV,GS,SG,I,DP,FT,PC,PP,PS,V
9,99198,Vegetti,267,VAS,5,Atacante,18.6,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,2,0,0,1,0,1,2,2,0,0,0,0,1,0,0,0,0,0,0
9,107554,Natanael,282,CAM,2,Lateral,18.2,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0
9,109401,Erick Pulga,265,BAH,5,Atacante,15.7,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,1,0,0,1,0,4,5,2,1,0,0,0,0,0,0,0,0,0,0
9,116447,Hércules,266,FLU,4,Meia,15.3,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,1,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
9,124280,Ricardo Mathias,285,INT,5,Atacante,13.1,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
9,101027,Diego,354,CEA,2,Lateral,12.9,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
9,81121,Lucas Mugni,354,CEA,4,Meia,12.4,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
9,115239,Wesley,262,FLA,2,Lateral,12.2,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,0,0,0,0,0,4,5,1,1,0,0,1,0,0,0,0,0,0,0
9,105584,Lucas Piton,267,VAS,2,Lateral,12.1,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,0,1,0,0,0,1,2,1,0,0,0,1,1,0,0,0,0,0,0
9,109899,Batalla,286,JUV,5,Atacante,12,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
9,100652,Yuri Alberto,264,COR,5,Atacante,11.6,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,1,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
9,104758,Enzo Díaz,276,SAO,2,Lateral,11.1,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,0,1,0,0,0,4,2,3,0,0,0,0,0,0,0,0,0,0,0
9,131617,André Silva,276,SAO,5,Atacante,11.1,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,92696,Renato Kayzer,287,VIT,5,Atacante,11.1,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,1,0,0,2,0,1,3,5,0,0,0,0,0,0,0,0,0,0,0
9,51413,Walter,2305,MIR,1,Goleiro,11,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,0,0,0,0,10,0,0,0,1,0,1,0,0,0,0,0,0,0,0
