rodada,atleta_id,apelido,clube_id,clube,posicao_id,posicao,pontuacao,entrou_em_campo,foto,G,A,FD,FF,DE,DS,FS,FC,CA,CV,GS,SG,I,DP,FT,PC,PP,PS,V
2,98022,Erick,265,BAH,4,Meia,19.6,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,1,0,0,2,0,6,1,5,1,0,0,0,0,0,1,0,0,0,0
2,85048,Memphis Depay,264,COR,5,Atacante,18.4,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,1,1,1,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0
2,107093,Luciano Juba,265,BAH,2,Lateral,15.7,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
2,110426,Bernabéi,285,INT,2,Lateral,14.5,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,0,1,1,0,0,3,2,4,1,0,0,1,0,0,0,0,0,0,0
2,124481,Mateo Ponte,263,BOT,2,Lateral,14.1,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
2,68928,Rafael,276,SAO,1,Goleiro,13.8,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,0,0,0,0,6,0,2,0,0,0,0,1,0,0,0,0,0,0,0
2,98225,Pedro Raul,354,CEA,5,Atacante,13.6,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,1,0,0,2,0,0,3,1,0,0,0,0,2,0,1,0,0,0,0
2,68991,Lucas Sasha,356,FOR,4,Meia,13.4,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,0,0,0,0,0,8,4,2,0,0,0,0,0,0,0,0,0,0,0
2,105811,Wesley,285,INT,5,Atacante,13.1,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,0,1,2,1,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0
2,100652,Yuri Alberto,264,COR,5,Atacante,12.8,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,1,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0
2,95799,Artur,263,BOT,5,Atacante,12.7,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,0,1,0,1,0,2,3,2,0,0,0,0,0,0,1,0,0,0,0
2,70788,Enner Valencia,285,INT,5,Atacante,11.8,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,1,0,0,2,0,0,1,4,0,0,0,0,1,0,1,0,0,0,0
