rodada,atleta_id,apelido,clube_id,clube,posicao_id,posicao,pontuacao,entrou_em_campo,foto,G,A,FD,FF,DE,DS,FS,FC,CA,CV,GS,SG,I,DP,FT,PC,PP,PS,V
15,39148,Hulk,282,CAM,5,Atacante,20.8,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,2,0,1,1,0,2,4,4,1,0,0,0,0,0,0,0,0,0,0
15,83257,Gabriel,283,CRU,5,Atacante,20.4,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,2,0,0,1,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0
15,80287,Luciano,276,SAO,5,Atacante,20.3,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,2,0,0,2,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0
15,80570,Wendell,276,SAO,2,Lateral,19.3,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,0,1,0,2,0,5,1,1,0,0,0,1,0,0,0,0,0,0,0
15,78850,Reinaldo,2305,MIR,2,Lateral,15,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
15,116065,Cuiabano,263,BOT,2,Lateral,14.5,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
15,105300,Ferraresi,276,SAO,3,Zagueiro,14.2,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,0,0,0,0,0,6,1,1,0,0,0,1,0,0,0,0,0,0,0
15,68708,Eduardo,283,CRU,4,Meia,14.2,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,1,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0
15,68685,Alan Patrick,285,INT,4,Meia,14.1,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,1,0,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0
15,103445,Kaio Jorge,283,CRU,5,Atacante,13.6,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,0,2,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0
15,84674,Lucas Evangelista,275,PAL,4,Meia,13.3,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,1,0,1,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0
15,110510,Aguirre,285,INT,2,Lateral,12.5,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0
15,91573,Arboleda,276,SAO,3,Zagueiro,12.3,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,0,0,0,1,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0
15,105647,Maurício,275,PAL,4,Meia,12.1,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,1,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0
15,97867,Léo Ortiz,262,FLA,3,Zagueiro,11.7,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
15,115141,Lucas Freitas,267,VAS,3,Zagueiro,11.5,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
15,91158,Kaio,263,BOT,3,Zagueiro,11.5,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,0,0,0,1,0,3,3,1,0,0,0,1,0,0,0,0,0,0,0
15,94044,John,263,BOT,1,Goleiro,11.5,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
