rodada,atleta_id,apelido,clube_id,clube,posicao_id,posicao,pontuacao,entrou_em_campo,foto,G,A,FD,FF,DE,DS,FS,FC,CA,CV,GS,SG,I,DP,FT,PC,PP,PS,V
20,105584,Lucas Piton,267,VAS,2,Lateral,18.5,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
20,68899,Philippe Coutinho,267,VAS,4,Meia,17.9,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,2,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
20,90309,David,267,VAS,5,Atacante,17.9,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20,94583,Pedro,262,FLA,5,Atacante,17.5,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,92696,Renato Kayzer,287,VIT,5,Atacante,17,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
20,91706,Marlon,284,GRE,2,Lateral,16.7,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,0,1,0,0,0,7,3,1,0,0,0,0,0,0,0,0,0,0,0
20,70592,Felipe Anderson,275,PAL,4,Meia,15.4,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0
20,132071,Serna,266,FLU,5,Atacante,14.7,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,0,2,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0
20,38913,Nenê,286,JUV,4,Meia,14.7,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,92854,Borré,285,INT,5,Atacante,14.7,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,1,0,1,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0
20,142279,Nuno Moreira,267,VAS,5,Atacante,14.4,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,0,2,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
20,95556,Raniele,264,COR,4,Meia,13.1,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,0,1,1,0,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0
20,87887,Balbuena,284,GRE,3,Zagueiro,13,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
20,71631,Weverton,275,PAL,1,Goleiro,12.8,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,79631,Cano,266,FLU,5,Atacante,12.8,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,1,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
20,68996,Willian José,265,BAH,5,Atacante,12.7,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,72391,Fernando Diniz,267,VAS,6,Técnico,12.48,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,70164,Lucas Moura,276,SAO,4,Meia,12.4,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,1,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0
