rodada,atleta_id,apelido,clube_id,clube,posicao_id,posicao,pontuacao,entrou_em_campo,foto,G,A,FD,FF,DE,DS,FS,FC,CA,CV,GS,SG,I,DP,FT,PC,PP,PS,V
35,103445,Kaio Jorge,283,CRU,5,Atacante,23.7,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,87863,Arrascaeta,262,FLA,4,Meia,19.5,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,1,1,1,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
35,84735,Jorginho,262,FLA,4,Meia,15.5,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
35,92854,Borré,285,INT,5,Atacante,15.2,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,0,1,2,2,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0
35,68685,Alan Patrick,285,INT,4,Meia,13.9,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,1,0,1,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0
35,132264,Arroyo,283,CRU,5,Atacante,13.5,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,1,0,1,2,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0
35,78850,Reinaldo,2305,MIR,2,Lateral,13.2,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
35,126471,Barreal,277,SAN,4,Meia,13,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
35,91908,Pavón,284,GRE,5,Atacante,13,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
35,98384,Negueba,2305,MIR,5,Atacante,13,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
35,116065,Cuiabano,263,BOT,2,Lateral,12.8,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,1,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
