rodada,atleta_id,apelido,clube_id,clube,posicao_id,posicao,pontuacao,entrou_em_campo,foto,G,A,FD,FF,DE,DS,FS,FC,CA,CV,GS,SG,I,DP,FT,PC,PP,PS,V
37,63007,Neymar,277,SAN,4,Meia,26.3,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,3,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
37,87258,Soteldo,266,FLU,5,Atacante,22.5,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,2,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0
37,91808,Caíque França,292,SPT,1,Goleiro,19.3,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,0,0,0,0,11,0,0,0,0,0,2,0,0,1,0,0,0,0,0
37,104075,Sabino,276,SAO,3,Zagueiro,18.3,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,1,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
37,141611,Maik,276,SAO,2,Lateral,17,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,1,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0
37,104783,Acevedo,265,BAH,4,Meia,15.7,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,0,0,3,3,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0
37,106822,Rodrigo Nestor,265,BAH,4,Meia,14.6,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,1,0,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0
37,123738,Herrera,356,FOR,5,Atacante,14.4,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,1,1,0,1,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0
37,90917,Carlos Eduardo,2305,MIR,5,Atacante,13.9,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
37,101314,Ademir,265,BAH,5,Atacante,13.8,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,0,1,2,4,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0
37,107093,Luciano Juba,265,BAH,2,Lateral,13.2,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
37,121792,André,284,GRE,5,Atacante,12.9,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,1,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
37,98873,Samuel Lino,262,FLA,5,Atacante,12.3,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
37,99267,Pochettino,356,FOR,4,Meia,12,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
37,106708,Igor Formiga,286,JUV,2,Lateral,11.5,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0,0,0,1,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0
37,51413,Walter,2305,MIR,1,Goleiro,11.5,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37,80287,Luciano,276,SAO,5,Atacante,11.5,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,1,0,0,3,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0
37,103912,Hernán Crespo,276,SAO,6,Técnico,11.2,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,96610,Matheus Pereira,283,CRU,4,Meia,11.2,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,1,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0
37,107873,Bobadilla,276,SAO,4,Meia,11.1,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,0,1,1,0,0,4,1,2,1,0,0,0,0,0,0,0,0,0,0
37,94207,Guilherme,277,SAN,5,Atacante,10.9,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,0,1,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
37,101290,Ferreira,276,SAO,5,Atacante,10.7,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,0,1,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
37,95466,Igor Vinícius,277,SAN,2,Lateral,10.7,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0
37,105436,Carrascal,262,FLA,4,Meia,10.6,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,0,1,0,1,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0
37,97341,Rogério Ceni,265,BAH,6,Técnico,10.43,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,91866,Zé Ivaldo,277,SAN,3,Zagueiro,10.4,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,0,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0
37,104754,Juan Vojvoda,277,SAN,6,Técnico,10.35,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,117403,Renato Marques,2305,MIR,5,Atacante,10.3,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,1,0,2,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
37,82775,Lucas Ramon,2305,MIR,2,Lateral,10.3,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,0,0,0,0,0,4,2,2,1,0,0,1,1,0,0,0,0,0,0
37,68928,Rafael,276,SAO,1,Goleiro,10.2,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37,91101,Ronaldo,265,BAH,1,Goleiro,10.2,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37,71701,Santiago Arias,265,BAH,2,Lateral,10.1,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,0,0,0,1,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0
37,109401,Erick Pulga,265,BAH,5,Atacante,9.7,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,0,0,2,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0
37,104502,Christian,283,CRU,4,Meia,9.6,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,1,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0
37,72493,Alex Telles,263,BOT,2,Lateral,9.5,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,145744,André,264,COR,4,Meia,9.4,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0
37,93716,Paulo Henrique,267,VAS,2,Lateral,9.4,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,0,0,1,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0
37,42135,Willian,284,GRE,4,Meia,9.3,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
37,108469,Adonis Frías,277,SAN,3,Zagueiro,9.2,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0
37,104027,Rafael Guanaes,2305,MIR,6,Técnico,8.9,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,97468,Marçal,263,BOT,2,Lateral,8.9,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0
37,84816,Varela,262,FLA,2,Lateral,8.4,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,0,0,0,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,0
37,114405,Sinisterra,283,CRU,5,Atacante,8.2,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
37,139076,Filipe Luís,262,FLA,6,Técnico,8.15,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,81150,Mayke,277,SAN,2,Lateral,8,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
37,103056,Gabriel Brazão,277,SAN,1,Goleiro,7.6,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37,78445,Renê,266,FLU,2,Lateral,7.5,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
37,89275,William,283,CRU,2,Lateral,7.5,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
37,97460,João Victor,2305,MIR,3,Zagueiro,7.5,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0
37,69783,Danilo,262,FLA,3,Zagueiro,7.3,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
37,103445,Kaio Jorge,283,CRU,5,Atacante,7.1,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,0,0,1,1,0,3,2,1,0,0,0,0,1,0,0,0,0,0,0
37,108588,Tapia,276,SAO,5,Atacante,7.1,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,0,0,2,1,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0
37,101708,Felipe Jonatan,2305,MIR,2,Lateral,6.9,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,0,0,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0
37,100830,Brenno,356,FOR,1,Goleiro,6.8,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37,78435,Vitinho,264,COR,5,Atacante,6.6,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,0,1,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
37,113078,Mancuso,356,FOR,2,Lateral,6.5,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0
37,63008,Rafael Tolói,276,SAO,3,Zagueiro,6.5,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
37,83528,Léo Pereira,262,FLA,3,Zagueiro,6.5,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
